scientificName,species,order,NAME_0,NAME_1,TYPE_1,ENGTYPE_1,DEP_ID,year,basisOfRecord,elevation,regbio,longitude,latitude,region
"Cynomops planirostris (Peters, 1866)",Cynomops planirostris,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,NA,Especimen,103,27,-70.260861,5.606333,3
"Eumops bonariensis (Peters, 1874)",Eumops delticus,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,NA,Especimen,105,27,-70.291667,5.616389,3
"Gardnerycteris crenulatum (E.Geoffroy, 1803)",Gardnerycteris crenulatum,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,NA,Especimen,103,27,-70.265556,5.602778,3
"Glossophaga longirostris Miller, 1898",Glossophaga longirostris,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,108,27,-70.156072,6.095869,3
"Lampronycteris brachyotis (Dobson, 1879)",Lampronycteris brachyotis,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,101,27,-70.211845,6.037564,3
"Lasiurus blossevillii (Lesson & Garnot, 1826)",Lasiurus blossevillii,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,1983,Especimen,132,27,-71.40134,4.734414,3
"Lophostoma brasiliense Peters, 1867",Lophostoma brasiliense,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,115,27,-70.704688,5.612653,3
"Mesophylla macconnelli Thomas, 1901",Mesophylla macconnelli,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,108,27,-70.156072,6.095869,3
"Micronycteris minuta (Gervais, 1856)",Micronycteris minuta,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,101,27,-70.211845,6.037564,3
"Molossops temminckii (Burmeister, 1854)",Molossops temmincki,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,102,27,-70.233555,5.999058,3
"Molossus ater E.Geoffroy, 1805",Molossus rufus,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,1983,Especimen,132,27,-71.40134,4.734414,3
"Noctilio albiventris Desmarest, 1818",Noctilio albiventris,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,101,27,-70.211845,6.037564,3
